seed,k,size,profile,dataset,avg_composite_score,avg_silhouette
0,3,15,mixed,ECG5000,0.08109341876034497,0.08109341876034497
0,3,30,mixed,ECG5000,0.059832554600133765,0.059832554600133765
0,5,15,mixed,ECG5000,0.07158563173080262,0.07158563173080262
0,5,30,mixed,ECG5000,0.05380049360075388,0.05380049360075388
0,3,15,fixed,ECG5000,0.09403193903052635,0.09403193903052635
0,3,30,fixed,ECG5000,0.06886163656042521,0.06886163656042521
0,5,15,fixed,ECG5000,0.07531824043181956,0.07531824043181956
0,5,30,fixed,ECG5000,0.06098962962224642,0.06098962962224642
1,3,15,mixed,ECG5000,0.10357358625312424,0.10357358625312424
1,3,30,mixed,ECG5000,0.08182916123259455,0.08182916123259455
1,5,15,mixed,ECG5000,0.08493079768816504,0.08493079768816504
1,5,30,mixed,ECG5000,0.06412124042743042,0.06412124042743042
1,3,15,fixed,ECG5000,0.10885912687032682,0.10885912687032682
1,3,30,fixed,ECG5000,0.0974023951089904,0.0974023951089904
1,5,15,fixed,ECG5000,0.08172655929058885,0.08172655929058885
1,5,30,fixed,ECG5000,0.06948443614701287,0.06948443614701287
